Date,Product,Category,Store,Quantity,Price,Total Revenue
2024-02-17,Monitor,Gadgets,Walmart Store 11,19,1146,21774
2024-02-22,Laptop,Gadgets,Walmart Store 1,15,1733,25995
2024-02-22,Keyboard,Gadgets,Walmart Store 16,13,1080,14040
2024-02-22,Monitor,Gadgets,Walmart Store 14,18,1381,24858
2024-02-23,Printer,Home Appliances,Walmart Store 2,11,216,2376
2024-02-24,Mouse,Electronics,Walmart Store 12,3,90,270
2024-02-24,Headphones,Electronics,Walmart Store 4,13,1852,24076
2024-02-24,Keyboard,Electronics,Walmart Store 12,11,1127,12397
2024-02-26,TV,Home Appliances,Walmart Store 19,7,243,1701
2024-02-26,Laptop,Home Appliances,Walmart Store 4,14,1306,18284
2024-02-26,Mouse,Home Appliances,Walmart Store 17,8,662,5296
2024-02-28,Laptop,Home Appliances,Walmart Store 12,1,816,816
2024-02-28,Camera,Gadgets,Walmart Store 6,8,1078,8624
2024-02-29,Monitor,Gadgets,Walmart Store 7,1,1777,1777
2024-03-02,Headphones,Home Appliances,Walmart Store 16,9,1033,9297
2024-03-03,Keyboard,Electronics,Walmart Store 2,14,1516,21224
2024-03-04,Phone,Gadgets,Walmart Store 11,2,683,1366
2024-03-06,Monitor,Electronics,Walmart Store 1,5,1280,6400
2024-03-07,Monitor,Home Appliances,Walmart Store 15,16,763,12208
2024-03-09,Tablet,Electronics,Walmart Store 9,1,222,222
2024-03-10,Printer,Home Appliances,Walmart Store 17,8,785,6280
2024-03-10,Phone,Home Appliances,Walmart Store 9,19,1017,19323
2024-03-10,Laptop,Home Appliances,Walmart Store 20,8,595,4760
2024-03-10,Mouse,Electronics,Walmart Store 16,1,1769,1769
2024-03-11,Headphones,Gadgets,Walmart Store 2,19,124,2356
2024-03-11,Keyboard,Electronics,Walmart Store 5,15,59,885
2024-03-13,Monitor,Gadgets,Walmart Store 16,16,1898,30368
2024-03-14,Camera,Gadgets,Walmart Store 1,15,1274,19110
2024-03-15,TV,Home Appliances,Walmart Store 4,18,1268,22824
2024-03-16,Printer,Home Appliances,Walmart Store 8,3,1996,5988
2024-03-17,Phone,Gadgets,Walmart Store 17,3,1395,4185
2024-03-18,Phone,Home Appliances,Walmart Store 4,10,775,7750
2024-03-18,Mouse,Home Appliances,Walmart Store 19,4,1408,5632
2024-03-19,TV,Gadgets,Walmart Store 9,6,1199,7194
2024-03-21,Mouse,Electronics,Walmart Store 20,17,820,13940
2024-03-23,Laptop,Gadgets,Walmart Store 11,7,1421,9947
2024-03-25,Printer,Home Appliances,Walmart Store 20,17,1210,20570
2024-03-25,Headphones,Electronics,Walmart Store 10,1,705,705
2024-03-27,Headphones,Home Appliances,Walmart Store 20,14,855,11970
2024-03-30,Camera,Home Appliances,Walmart Store 7,10,369,3690
2024-03-30,Laptop,Gadgets,Walmart Store 4,15,1523,22845
2024-03-30,Phone,Home Appliances,Walmart Store 20,7,182,1274
2024-03-31,Printer,Gadgets,Walmart Store 18,5,1081,5405
2024-04-01,Headphones,Electronics,Walmart Store 4,5,1302,6510
2024-04-02,Keyboard,Electronics,Walmart Store 19,10,288,2880
2024-04-03,Tablet,Gadgets,Walmart Store 16,10,1711,17110
2024-04-03,Monitor,Gadgets,Walmart Store 5,8,1860,14880
2024-04-04,Monitor,Home Appliances,Walmart Store 17,2,132,264
2024-04-06,Camera,Home Appliances,Walmart Store 10,7,520,3640
2024-04-06,Phone,Home Appliances,Walmart Store 20,4,144,576
2024-04-10,Camera,Home Appliances,Walmart Store 18,7,1112,7784
2024-04-11,Headphones,Home Appliances,Walmart Store 19,6,1129,6774
2024-04-13,Keyboard,Home Appliances,Walmart Store 18,14,1265,17710
2024-04-13,TV,Home Appliances,Walmart Store 15,10,885,8850
2024-04-13,Mouse,Electronics,Walmart Store 18,14,1584,22176
2024-04-13,TV,Home Appliances,Walmart Store 17,2,1847,3694
2024-04-15,Printer,Home Appliances,Walmart Store 1,18,105,1890
2024-04-15,Camera,Gadgets,Walmart Store 1,11,1849,20339
2024-04-15,Keyboard,Electronics,Walmart Store 5,10,438,4380
2024-04-16,Tablet,Gadgets,Walmart Store 3,13,688,8944
2024-04-17,Keyboard,Home Appliances,Walmart Store 12,2,1096,2192
2024-04-19,Phone,Home Appliances,Walmart Store 14,14,496,6944
2024-04-20,TV,Gadgets,Walmart Store 20,12,1099,13188
2024-04-20,Phone,Home Appliances,Walmart Store 11,13,694,9022
2024-04-20,Laptop,Gadgets,Walmart Store 18,17,810,13770
2024-04-20,Camera,Home Appliances,Walmart Store 11,13,1941,25233
2024-04-21,Tablet,Home Appliances,Walmart Store 13,10,1124,11240
2024-04-22,Phone,Gadgets,Walmart Store 13,1,589,589
2024-04-22,Camera,Home Appliances,Walmart Store 4,3,409,1227
2024-04-25,Mouse,Gadgets,Walmart Store 19,2,1046,2092
2024-04-25,Camera,Gadgets,Walmart Store 19,1,97,97
2024-04-25,Mouse,Electronics,Walmart Store 8,15,1586,23790
2024-04-27,Mouse,Home Appliances,Walmart Store 4,19,505,9595
2024-04-29,TV,Gadgets,Walmart Store 8,3,1008,3024
2024-04-30,Monitor,Home Appliances,Walmart Store 10,5,1508,7540
2024-05-05,TV,Home Appliances,Walmart Store 4,19,1347,25593
2024-05-05,Laptop,Gadgets,Walmart Store 6,6,1581,9486
2024-05-06,Camera,Gadgets,Walmart Store 12,12,1218,14616
2024-05-08,Tablet,Electronics,Walmart Store 19,7,1576,11032
2024-05-08,Printer,Home Appliances,Walmart Store 14,12,969,11628
2024-05-09,Keyboard,Home Appliances,Walmart Store 14,16,1385,22160
2024-05-09,Mouse,Home Appliances,Walmart Store 6,13,1332,17316
2024-05-10,Headphones,Electronics,Walmart Store 15,4,1151,4604
2024-05-11,TV,Home Appliances,Walmart Store 12,16,1519,24304
2024-05-12,Tablet,Electronics,Walmart Store 15,3,887,2661
2024-05-14,Keyboard,Home Appliances,Walmart Store 10,19,926,17594
2024-05-14,Laptop,Electronics,Walmart Store 18,5,788,3940
2024-05-14,Laptop,Home Appliances,Walmart Store 17,2,1251,2502
2024-05-14,Mouse,Home Appliances,Walmart Store 2,9,725,6525
